time,open,high,low,close,Volume,Volume MA
2025-11-19T15:42:00Z,90780,90890,90750,90755,12,16.5
2025-11-19T15:43:00Z,90695,90775,90620,90730,21,17.1
2025-11-19T15:44:00Z,90750,90835,90750,90750,5,17.15
2025-11-19T15:45:00Z,90680,90680,90445,90530,15,16.55
2025-11-19T15:46:00Z,90510,90510,90370,90405,15,16.85
2025-11-19T15:47:00Z,90455,90455,90430,90430,5,16.8
2025-11-19T15:48:00Z,90420,90455,90375,90455,14,16.95
2025-11-19T15:49:00Z,90350,90350,90275,90280,26,17.75
2025-11-19T15:50:00Z,90255,90375,90255,90295,22,15.55
2025-11-19T15:51:00Z,90245,90375,90240,90250,12,14.75
2025-11-19T15:52:00Z,90225,90310,90195,90195,5,14.1
2025-11-19T15:53:00Z,90190,90195,90035,90120,20,13.7
2025-11-19T15:54:00Z,90100,90195,90025,90195,12,13.7
2025-11-19T15:55:00Z,90170,90170,89965,89970,16,14
2025-11-19T15:56:00Z,89985,90020,89840,89925,65,17
2025-11-19T15:57:00Z,89905,89935,89875,89905,11,16.85
2025-11-19T15:58:00Z,89915,89965,89900,89900,8,17
2025-11-19T15:59:00Z,89890,89970,89875,89970,18,16.4
2025-11-19T16:00:00Z,89940,90065,89940,90065,8,16.05
2025-11-19T16:01:00Z,90080,90215,90060,90160,24,16.7
2025-11-19T16:02:00Z,90160,90185,90070,90175,5,16.35
2025-11-19T16:03:00Z,90175,90195,90155,90155,14,16
2025-11-19T16:04:00Z,90135,90135,90030,90045,6,16.05
2025-11-19T16:05:00Z,90015,90015,89915,89915,11,15.85
2025-11-19T16:06:00Z,89910,89945,89910,89935,7,15.45
2025-11-19T16:07:00Z,90065,90215,90035,90165,27,16.55
2025-11-19T16:08:00Z,90180,90210,90130,90200,23,17
2025-11-19T16:09:00Z,90180,90265,90110,90110,23,16.85
2025-11-19T16:10:00Z,90115,90115,90025,90080,10,16.25
2025-11-19T16:11:00Z,90095,90105,90085,90085,3,15.8
2025-11-19T16:12:00Z,89945,90035,89945,90035,6,15.85
2025-11-19T16:13:00Z,90090,90110,90055,90110,3,15
2025-11-19T16:14:00Z,90085,90170,90080,90125,12,15
2025-11-19T16:15:00Z,90220,90240,90175,90175,8,14.6
2025-11-19T16:16:00Z,90100,90100,90050,90050,5,11.6
2025-11-19T16:17:00Z,90040,90040,89980,90000,15,11.8
2025-11-19T16:18:00Z,89985,90000,89935,89950,10,11.9
2025-11-19T16:19:00Z,89915,89920,89675,89735,107,16.35
2025-11-19T16:20:00Z,89705,89875,89700,89855,22,17.05
2025-11-19T16:21:00Z,89830,90025,89830,89955,9,16.3
2025-11-19T16:22:00Z,90005,90095,89970,90065,17,16.9
2025-11-19T16:23:00Z,89985,89985,89810,89810,5,16.45
2025-11-19T16:24:00Z,89765,89805,89755,89755,7,16.5
2025-11-19T16:25:00Z,89655,89695,89640,89675,16,16.75
2025-11-19T16:26:00Z,89665,89665,89605,89640,16,17.2
2025-11-19T16:27:00Z,89645,89700,89645,89700,7,16.2
2025-11-19T16:28:00Z,89650,89755,89650,89745,11,15.6
2025-11-19T16:29:00Z,89715,89725,89625,89725,7,14.8
2025-11-19T16:30:00Z,89695,89850,89655,89845,18,15.2
2025-11-19T16:31:00Z,89815,89815,89670,89770,6,15.35
2025-11-19T16:32:00Z,89780,89825,89750,89750,19,16
2025-11-19T16:33:00Z,89730,89805,89620,89620,22,16.95
2025-11-19T16:34:00Z,89650,89665,89595,89595,8,16.75
2025-11-19T16:35:00Z,89575,89575,89500,89515,55,19.1
2025-11-19T16:36:00Z,89540,89565,89445,89500,15,19.6
2025-11-19T16:37:00Z,89460,89475,89460,89475,2,18.95
2025-11-19T16:38:00Z,89495,89520,89480,89500,13,19.1
2025-11-19T16:39:00Z,89515,89660,89515,89590,11,14.3
2025-11-19T16:40:00Z,89545,89545,89470,89500,8,13.6
2025-11-19T16:41:00Z,89545,89735,89545,89695,10,13.65
2025-11-19T16:42:00Z,89850,89850,89810,89850,10,13.3
2025-11-19T16:43:00Z,89840,89840,89760,89805,8,13.45
2025-11-19T16:44:00Z,89795,89830,89715,89740,7,13.45
2025-11-19T16:45:00Z,89695,89725,89665,89665,14,13.35
2025-11-19T16:46:00Z,89675,89780,89675,89780,7,12.9
2025-11-19T16:47:00Z,89815,89835,89775,89805,10,13.05
2025-11-19T16:48:00Z,89695,89740,89525,89525,13,13.15
2025-11-19T16:49:00Z,89510,89580,89480,89545,20,13.8
2025-11-19T16:50:00Z,89535,89610,89440,89590,16,13.7
2025-11-19T16:51:00Z,89585,89645,89585,89645,7,13.75
2025-11-19T16:52:00Z,89610,89610,89565,89585,7,13.15
2025-11-19T16:53:00Z,89615,89615,89575,89600,11,12.6
2025-11-19T16:54:00Z,89585,89585,89495,89495,11,12.75
2025-11-19T16:55:00Z,89460,89660,89460,89660,32,11.6
2025-11-19T16:56:00Z,89700,89790,89700,89790,15,11.6
2025-11-19T16:57:00Z,89710,89880,89700,89880,15,12.25
2025-11-19T16:58:00Z,89860,89880,89795,89795,13,12.25
2025-11-19T16:59:00Z,89845,89950,89845,89915,24,12.9
2025-11-19T17:00:00Z,89920,90080,89915,90080,12,13.1
2025-11-19T17:01:00Z,90050,90135,90050,90075,16,13.4
2025-11-19T17:02:00Z,90055,90060,89840,89840,13,13.55
2025-11-19T17:03:00Z,89840,89950,89815,89815,11,13.7
2025-11-19T17:04:00Z,89815,89815,89670,89670,11,13.9
2025-11-19T17:05:00Z,89650,89650,89560,89595,11,13.75
2025-11-19T17:06:00Z,89580,89685,89580,89640,17,14.25
2025-11-19T17:07:00Z,89625,89650,89600,89650,5,14
2025-11-19T17:08:00Z,89645,89650,89575,89610,30,14.85
2025-11-19T17:09:00Z,89670,89670,89550,89555,15,14.6
2025-11-19T17:10:00Z,89540,89620,89505,89620,32,15.4
2025-11-19T17:11:00Z,89550,89595,89540,89550,14,15.75
2025-11-19T17:12:00Z,89435,89475,89350,89405,16,16.2
2025-11-19T17:13:00Z,89405,89410,89350,89380,24,16.85
2025-11-19T17:14:00Z,89360,89405,89335,89360,16,17.1
2025-11-19T17:15:00Z,89390,89475,89335,89450,16,16.3
2025-11-19T17:16:00Z,89360,89395,89360,89390,7,15.9
2025-11-19T17:17:00Z,89410,89475,89320,89320,31,16.7
2025-11-19T17:18:00Z,89365,89455,89365,89420,11,16.6
2025-11-19T17:19:00Z,89435,89435,89340,89355,11,15.95
2025-11-19T17:20:00Z,89315,89350,89315,89335,13,16
2025-11-19T17:21:00Z,89420,89530,89420,89510,15,15.95
2025-11-19T17:22:00Z,89500,89550,89480,89550,10,15.8
2025-11-19T17:23:00Z,89560,89610,89500,89505,8,15.65
2025-11-19T17:24:00Z,89540,89555,89495,89520,30,16.6
2025-11-19T17:25:00Z,89500,89520,89460,89465,20,17.05
2025-11-19T17:26:00Z,89515,89535,89440,89440,7,16.55
2025-11-19T17:27:00Z,89485,89485,89475,89475,7,16.65
2025-11-19T17:28:00Z,89500,89585,89465,89585,18,16.05
2025-11-19T17:29:00Z,89575,89590,89530,89530,13,15.95
2025-11-19T17:30:00Z,89460,89525,89445,89525,11,14.9
2025-11-19T17:31:00Z,89520,89520,89380,89410,9,14.65
2025-11-19T17:32:00Z,89440,89460,89360,89360,11,14.4
2025-11-19T17:33:00Z,89350,89380,89135,89165,69,16.65
2025-11-19T17:34:00Z,89125,89185,89085,89175,45,18.1
2025-11-19T17:35:00Z,89155,89160,89115,89145,28,18.7
2025-11-19T17:36:00Z,89140,89150,89015,89100,52,20.95
2025-11-19T17:37:00Z,89145,89145,88910,88910,24,20.6
2025-11-19T17:38:00Z,88945,89040,88945,89035,21,21.1
2025-11-19T17:39:00Z,89015,89120,88945,89075,26,21.85
2025-11-19T17:40:00Z,89035,89170,88960,89130,10,21.7
2025-11-19T17:41:00Z,89070,89280,89050,89240,34,22.65
2025-11-19T17:42:00Z,89285,89535,89255,89495,36,23.95
2025-11-19T17:43:00Z,89575,89625,89440,89440,31,25.1
2025-11-19T17:44:00Z,89445,89460,89325,89370,28,25
2025-11-19T17:45:00Z,89345,89420,89105,89165,36,25.8
2025-11-19T17:46:00Z,89170,89205,89110,89165,10,25.95
2025-11-19T17:47:00Z,89145,89260,89145,89260,15,26.35
2025-11-19T17:48:00Z,89245,89255,89150,89150,15,26.2
2025-11-19T17:49:00Z,89180,89230,89180,89215,19,26.5
2025-11-19T17:50:00Z,89190,89190,89120,89150,12,26.55
2025-11-19T17:51:00Z,89165,89320,89155,89225,16,26.9
